14	 15-N 	7	p	  3013.482(21)	3013.482	          0.00057(5)	0.00057	5.00E-05	        1.23E-04(11)	1.23E-04	1.08E-05
14	 15-N 	7	p	   3269.41(15)	3269.41	          4.7E-05(8)	0.000047	8.00E-06	        1.02E-05(17)	1.02E-05	1.73E-06
14	 15-N 	7	p	    3300.79(4)	3300.79	         1.16E-04(8)	0.000116	8.00E-06	        2.51E-05(17)	2.51E-05	1.73E-06
14	 15-N 	7	p	  3531.981(15)	3531.981	           0.0071(4)	0.0071	4.00E-04	          0.00154(9)	1.54E-03	8.65E-05
14	 15-N 	7	p	  3677.732(13)	3677.732	           0.0115(6)	0.0115	6.00E-04	         0.00249(13)	2.49E-03	1.30E-04
14	 15-N 	7	p	  3855.577(19)	3855.577	        0.000626(16)	0.000626	1.60E-05	         1.35E-04(4)	1.35E-04	3.46E-06
14	 15-N 	7	p	    3881.29(5)	3881.29	         6.3E-05(13)	0.000063	1.30E-05	          1.4E-05(3)	1.36E-05	2.81E-06
14	 15-N 	7	p	  3884.242(18)	3884.242	        0.000436(13)	0.000436	1.30E-05	          9.4E-05(3)	9.43E-05	2.81E-06
14	 15-N 	7	p	   3923.10(11)	3923.1	          2.9E-05(7)	0.000029	7.00E-06	         6.3E-06(15)	6.27E-06	1.51E-06
14	 15-N 	7	p	  4508.731(12)	4508.731	           0.0132(7)	0.0132	7.00E-04	         0.00286(15)	2.86E-03	1.51E-04
14	 15-N 	7	p	    4653.95(4)	4653.95	          2.2E-05(5)	0.000022	5.00E-06	         4.8E-06(11)	4.76E-06	1.08E-06
14	 15-N 	7	p	  5269.159(13)	5269.159	           0.0236(3)	0.0236	3.00E-04	          0.00511(7)	5.11E-03	6.49E-05
14	 15-N 	7	p	  5297.821(15)	5297.821	         0.01680(23)	0.0168	2.30E-04	          0.00363(5)	3.63E-03	4.98E-05
14	 15-N 	7	p	  5533.395(14)	5533.395	           0.0155(8)	0.0155	8.00E-04	         0.00335(17)	3.35E-03	1.73E-04
14	 15-N 	7	p	  5562.057(13)	5562.057	           0.0084(5)	0.0084	5.00E-04	         0.00182(11)	1.82E-03	1.08E-04
