 Iso   Z  E(gamma)   DE     Sigma    DSigma      T1/2     T1/2(s)  dT1/2(s)  mode
166HO 67    80.574   .008  3.87E+00  5.00E-02    26.80 H  9.65E+04  7.20E+01 B-
166HO 67   184.400   .100  1.15E-03  1.20E-04    26.80 H  9.65E+04  7.20E+01 B-
166HO 67   520.800   .400  1.90E-04  5.00E-05    26.80 H  9.65E+04  7.20E+01 B-
166HO 67   705.300   .040  7.60E-03  3.00E-04    26.80 H  9.65E+04  7.20E+01 B-
166HO 67   785.890   .030  6.90E-03  3.00E-04    26.80 H  9.65E+04  7.20E+01 B-
166HO 67   674.000   .040  1.12E-02  1.30E-03    26.80 H  9.65E+04  7.20E+01 B-
166HO 67  1379.400   .060  5.37E-01  1.70E-02    26.80 H  9.65E+04  7.20E+01 B-
166HO 67  1263.080   .200  8.10E-04  1.20E-04    26.80 H  9.65E+04  7.20E+01 B-
166HO 67  1447.590   .200  5.70E-04  6.00E-05    26.80 H  9.65E+04  7.20E+01 B-
166HO 67  1528.200   .000  1.20E-04  0.00E+00    26.80 H  9.65E+04  7.20E+01 B-
166HO 67  1581.890   .080  1.08E-01  2.30E-03    26.80 H  9.65E+04  7.20E+01 B-
166HO 67  1662.480   .080  6.93E-02  1.20E-03    26.80 H  9.65E+04  7.20E+01 B-
166HO 67  1749.910   .060  1.60E-02  3.00E-04    26.80 H  9.65E+04  7.20E+01 B-
166HO 67  1830.490   .070  4.91E-03  1.70E-04    26.80 H  9.65E+04  7.20E+01 B-
167ER 68   207.801   .003  2.15E+00  8.11E-02    2.269 S  2.27E+00  6.00E-03 IT
171ER 68   111.621   .004  1.78E-01  7.69E-03    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   116.656   .006  2.00E-02  6.15E-04    7.516 H  2.71E+04  7.20E+00 B-
171ER 68    12.385   .008  2.65E-04  1.67E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   124.017   .004  7.90E-02  3.32E-03    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   197.700   .200  2.30E-04  4.02E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   210.100   .200  6.10E-05  1.09E-06    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   295.901   .014  2.51E-01  8.32E-03    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   308.291   .018  5.59E-01  1.72E-02    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   419.900   .300  7.20E-04  4.20E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   424.900   .500  1.94E-04  2.03E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   210.600   .030  5.57E-03  1.89E-04    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   506.900   .600  1.97E-04  1.74E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   519.200   .600  1.54E-04  1.43E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   630.700   .200  4.30E-05  9.03E-06    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   559.500   .400  4.04E-04  1.76E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   670.700   .200  2.19E-03  5.60E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   676.100   .300  2.47E-03  6.68E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   608.600   .200  3.20E-04  5.73E-06    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   621.030   .230  7.70E-04  3.30E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   732.500   .300  8.47E-04  2.59E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   495.400   .200  1.70E-05  9.01E-06    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   693.900   .500  1.30E-04  1.42E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   705.800   .200  1.00E-04  4.00E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   175.630   .040  7.70E-04  8.12E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   237.140   .040  2.62E-03  1.01E-04    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   277.430   .050  5.03E-03  1.92E-04    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   487.900   .200  4.30E-05  1.70E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   586.000   .200  3.50E-05  1.70E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   784.090   .170  2.08E-03  5.47E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   796.550   .130  5.55E-03  1.48E-04    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   907.700   .400  5.51E-03  1.48E-04    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   912.600   .500  6.70E-04  4.18E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68    85.600   .100  5.20E-04  4.11E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   261.400   .200  1.70E-04  3.04E-06    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   362.910   .140  1.71E-04  1.05E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   573.500   .200  8.50E-05  1.31E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   671.700   .200  1.90E-04  4.01E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   869.700   .300  4.80E-04  4.09E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   882.000   .400  3.34E-04  1.71E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   994.000   .500  5.00E-06  3.00E-06    7.516 H  2.71E+04  7.20E+00 B-
171ER 68  1096.900   .800  9.20E-06  1.61E-06    7.516 H  2.71E+04  7.20E+00 B-
171ER 68  1109.000   .500  5.89E-05  2.09E-06    7.516 H  2.71E+04  7.20E+00 B-
171ER 68  1220.500   .800  2.43E-05  1.75E-06    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   286.500   .200  6.90E-05  1.24E-06    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   371.960   .090  2.23E-03  9.85E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   547.800   .500  1.50E-04  4.01E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   609.000   .200  1.70E-04  3.04E-06    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   860.000   .200  1.30E-05  2.11E-06    7.516 H  2.71E+04  7.20E+00 B-
171ER 68  1156.000   .500  5.20E-06  1.30E-06    7.516 H  2.71E+04  7.20E+00 B-
171ER 68  1168.400   .500  1.60E-05  1.33E-06    7.516 H  2.71E+04  7.20E+00 B-
171ER 68  1279.900   .500  2.17E-05  1.74E-06    7.516 H  2.71E+04  7.20E+00 B-
171ER 68  1284.400   .500  2.08E-05  1.74E-06    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   871.500   .200  1.70E-04  4.01E-05    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   966.100   .400  2.29E-04  8.11E-06    7.516 H  2.71E+04  7.20E+00 B-
171ER 68   976.200   .500  6.00E-06  3.00E-06    7.516 H  2.71E+04  7.20E+00 B-
171ER 68  1271.200   .500  3.00E-06  1.30E-06    7.516 H  2.71E+04  7.20E+00 B-
171ER 68  1395.500   .500  2.40E-05  7.01E-06    7.516 H  2.71E+04  7.20E+00 B-
171ER 68  1400.500   .500  2.17E-05  9.80E-07    7.516 H  2.71E+04  7.20E+00 B-
169YB 70    24.200   .020  5.60E-06  7.38E-07       46 S  4.60E+01  2.00E+00 IT
175YB 70   113.805   .004  4.17E-01  1.39E-02    4.185 D  3.62E+05  8.64E+01 B-
175YB 70   137.658   .006  2.28E-02  1.91E-03    4.185 D  3.62E+05  8.64E+01 B-
175YB 70   251.474   .017  1.86E-02  1.13E-03    4.185 D  3.62E+05  8.64E+01 B-
175YB 70   144.863   .005  7.27E-02  3.18E-03    4.185 D  3.62E+05  8.64E+01 B-
175YB 70   282.522   .014  6.66E-01  2.15E-02    4.185 D  3.62E+05  8.64E+01 B-
175YB 70   396.329   .020  1.42E+00  4.57E-02    4.185 D  3.62E+05  8.64E+01 B-
175YB 70   514.868   .007  9.00E+00  9.36E-01    68.2 MS  6.82E-02  3.00E-04 IT
177YB 70   122.700   .500  1.23E-02  8.91E-04    1.911 H  6.88E+03  1.08E+01 B-
177YB 70   150.600   .500  7.30E-02  4.63E-03    1.911 H  6.88E+03  1.08E+01 B-
177YB 70   146.700   .600  6.20E-04  1.22E-04    1.911 H  6.88E+03  1.08E+01 B-
177YB 70   268.300   .900  5.80E-04  4.41E-05    1.911 H  6.88E+03  1.08E+01 B-
177YB 70   139.300   .500  4.80E-03  4.28E-04    1.911 H  6.88E+03  1.08E+01 B-
177YB 70   163.000   .800  2.40E-04  4.07E-05    1.911 H  6.88E+03  1.08E+01 B-
177YB 70   458.000   .400  1.39E-04  2.24E-05    1.911 H  6.88E+03  1.08E+01 B-
177YB 70   760.300   .300  1.87E-04  2.28E-05    1.911 H  6.88E+03  1.08E+01 B-
177YB 70   898.900   .300  2.43E-03  1.11E-04    1.911 H  6.88E+03  1.08E+01 B-
177YB 70   927.000   .800  1.40E-04  4.02E-05    1.911 H  6.88E+03  1.08E+01 B-
177YB 70   913.000   .700  1.20E-04  4.02E-05    1.911 H  6.88E+03  1.08E+01 B-
177YB 70  1063.000   .800  6.20E-05  2.01E-05    1.911 H  6.88E+03  1.08E+01 B-
177YB 70  1028.100   .200  2.29E-03  1.24E-04    1.911 H  6.88E+03  1.08E+01 B-
177YB 70  1149.800   .200  2.33E-03  1.41E-04    1.911 H  6.88E+03  1.08E+01 B-
177YB 70   779.600   .700  4.20E-04  4.22E-05    1.911 H  6.88E+03  1.08E+01 B-
177YB 70   941.800   .300  3.50E-03  1.37E-04    1.911 H  6.88E+03  1.08E+01 B-
177YB 70   961.200   .400  7.60E-05  1.62E-05    1.911 H  6.88E+03  1.08E+01 B-
177YB 70  1080.200   .200  2.01E-02  1.19E-03    1.911 H  6.88E+03  1.08E+01 B-
177YB 70  1109.100   .200  6.60E-04  4.52E-05    1.911 H  6.88E+03  1.08E+01 B-
177YB 70  1230.600   .200  1.37E-03  9.12E-05    1.911 H  6.88E+03  1.08E+01 B-
177YB 70  1119.700   .200  1.99E-03  1.18E-04    1.911 H  6.88E+03  1.08E+01 B-
177YB 70  1241.200   .200  1.25E-02  7.20E-04    1.911 H  6.88E+03  1.08E+01 B-
177YB 70  1214.800   .300  1.01E-04  1.44E-05    1.911 H  6.88E+03  1.08E+01 B-
177YB 70  1336.400   .500  4.80E-05  8.15E-06    1.911 H  6.88E+03  1.08E+01 B-
177YB 70   104.500   .120  2.90E-02  3.14E-03     6.41 S  6.41E+00  3.00E-02 IT
177YB 70   227.020   .150  4.70E-03  5.22E-04     6.41 S  6.41E+00  3.00E-02 IT
176LU 71    88.360   .040  7.10E+00  4.04E-01  4.00E10 Y  1.26E+18  6.94E+16 B-
176LU 71   201.830   .040  3.79E+01  2.22E+00  4.00E10 Y  1.26E+18  6.94E+16 B-
176LU 71   306.840   .040  4.52E+01  2.43E+00  4.00E10 Y  1.26E+18  6.94E+16 B-
176LU 71   401.100   .200  9.40E-02  9.03E-03  4.00E10 Y  1.26E+18  6.94E+16 B-
177LU 71   112.950   .001  3.47E+00  1.62E-01     6.73 D  5.81E+05  8.64E+02 B-
177LU 71   136.725   .001  2.60E-02  1.12E-03     6.73 D  5.81E+05  8.64E+02 B-
177LU 71   249.674   .001  1.15E-01  6.07E-03     6.73 D  5.81E+05  8.64E+02 B-
177LU 71    71.646   .002  8.30E-02  4.05E-03     6.73 D  5.81E+05  8.64E+02 B-
177LU 71   208.366   .001  6.00E+00  3.04E-01     6.73 D  5.81E+05  8.64E+02 B-
177LU 71   321.316   .002  1.19E-01  6.07E-03     6.73 D  5.81E+05  8.64E+02 B-
178HF 72    93.182   .006  3.10E-02  5.22E-04      4.0 S  4.00E+00  2.00E-01 IT
178HF 72   213.439   .007  1.47E-01  2.12E-03      4.0 S  4.00E+00  2.00E-01 IT
178HF 72   325.559   .004  1.70E-01  2.16E-03      4.0 S  4.00E+00  2.00E-01 IT
178HF 72   426.380   .005  1.75E-01  2.54E-03      4.0 S  4.00E+00  2.00E-01 IT
178HF 72    88.867   .001  1.16E-01  1.98E-03      4.0 S  4.00E+00  2.00E-01 IT
178HF 72   515.200   .000  2.70E-05  1.30E-07      4.0 S  4.00E+00  2.00E-01 IT
179HF 72   214.341   .002  1.63E+01  3.03E-01    18.67 S  1.87E+01  4.00E-02 IT
179HF 72   160.697   .002  7.00E-01  7.00E-02    18.67 S  1.87E+01  4.00E-02 IT
180HF 72    93.324   .002  1.07E-02  1.80E-04      5.5 H  1.98E+04  3.60E+02 IT
180HF 72   215.426   .008  5.06E-02  4.01E-04      5.5 H  1.98E+04  3.60E+02 IT
180HF 72   332.275   .011  5.86E-02  5.01E-04      5.5 H  1.98E+04  3.60E+02 IT
180HF 72   443.163   .015  5.09E-02  6.00E-04      5.5 H  1.98E+04  3.60E+02 IT
180HF 72    57.547   .006  2.99E-02  6.00E-04      5.5 H  1.98E+04  3.60E+02 IT
180HF 72   500.697   .013  8.90E-03  1.80E-04      5.5 H  1.98E+04  3.60E+02 IT
182TA 73   146.774   .002  4.08E-03  2.10E-04    15.84 M  9.50E+02  6.00E+00 IT
182TA 73   171.580   .003  5.40E-03  1.08E-07    15.84 M  9.50E+02  6.00E+00 IT
182TA 73   318.354   .003  7.50E-04  5.00E-05    15.84 M  9.50E+02  6.00E+00 IT
182TA 73   184.951   .015  2.68E-03  1.60E-04    15.84 M  9.50E+02  6.00E+00 IT
182TA 73   356.470   .100  3.20E-05  5.00E-06    15.84 M  9.50E+02  6.00E+00 IT
183W  74    46.484   .001  1.42E-03  4.09E-05      5.2 S  5.20E+00  3.00E-01 IT
183W  74    52.595   .001  1.57E-03  5.09E-05      5.2 S  5.20E+00  3.00E-01 IT
183W  74    99.079   .001  1.89E-03  5.13E-05      5.2 S  5.20E+00  3.00E-01 IT
183W  74   107.932   .001  4.38E-03  7.49E-05      5.2 S  5.20E+00  3.00E-01 IT
183W  74   160.528   .001  1.19E-03  2.22E-05      5.2 S  5.20E+00  3.00E-01 IT
183W  74   102.481   .003  5.60E-04  3.02E-05      5.2 S  5.20E+00  3.00E-01 IT
185W  74    23.540   .050  1.00E-06  1.50E-07     1.67 M  1.00E+02  1.80E+00 IT
185W  74    42.290   .050  4.40E-07  1.30E-07     1.67 M  1.00E+02  1.80E+00 IT
185W  74    65.860   .030  3.44E-05  1.80E-06     1.67 M  1.00E+02  1.80E+00 IT
185W  74    93.300   .050  1.60E-07  5.00E-08     1.67 M  1.00E+02  1.80E+00 IT
185W  74   107.850   .020  2.41E-06  1.80E-07     1.67 M  1.00E+02  1.80E+00 IT
185W  74   173.680   .020  1.93E-05  5.00E-07     1.67 M  1.00E+02  1.80E+00 IT
185W  74    94.590   .040  6.20E-07  4.00E-08     1.67 M  1.00E+02  1.80E+00 IT
185W  74   122.050   .070  6.00E-07  4.00E-08     1.67 M  1.00E+02  1.80E+00 IT
185W  74   164.330   .020  3.49E-06  1.50E-07     1.67 M  1.00E+02  1.80E+00 IT
185W  74   187.880   .020  4.82E-06  2.10E-07     1.67 M  1.00E+02  1.80E+00 IT
185W  74    23.540   .050  4.60E-09  1.50E-09     1.67 M  1.00E+02  1.80E+00 IT
185W  74   131.550   .020  2.56E-05  8.00E-07     1.67 M  1.00E+02  1.80E+00 IT
187W  74   134.247   .007  1.05E+00  2.03E-02    23.72 H  8.54E+04  2.16E+02 B-
187W  74    72.002   .004  1.32E+00  3.13E-02    23.72 H  8.54E+04  2.16E+02 B-
187W  74   206.242   .018  1.70E-02  5.13E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   168.500   .400  2.90E-04  1.30E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   303.100   .100  6.00E-05  3.00E-05    23.72 H  8.54E+04  2.16E+02 B-
187W  74   511.660   .040  7.68E-02  1.68E-03    23.72 H  8.54E+04  2.16E+02 B-
187W  74   375.930   .130  4.20E-04  1.00E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74    77.370   .040  8.40E-04  1.30E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   454.920   .020  3.50E-03  2.31E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   588.950   .060  1.45E-02  4.12E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74    29.230   .024  7.10E-04  1.00E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74    36.380   .030  8.80E-04  1.00E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   106.596   .013  3.11E-03  1.02E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   484.150   .030  2.04E-03  1.01E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   618.260   .040  7.46E-01  1.68E-02    23.72 H  8.54E+04  2.16E+02 B-
187W  74     7.100   .300  4.10E-04  7.01E-05    23.72 H  8.54E+04  2.16E+02 B-
187W  74   113.746   .008  9.20E-03  3.06E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   625.519   .010  1.29E-01  3.13E-03    23.72 H  8.54E+04  2.16E+02 B-
187W  74   647.300   .250  9.00E-05  4.00E-05    23.72 H  8.54E+04  2.16E+02 B-
187W  74   103.800   .500  1.20E-03  3.11E-05    23.72 H  8.54E+04  2.16E+02 B-
187W  74   479.550   .022  2.59E+00  5.30E-02    23.72 H  8.54E+04  2.16E+02 B-
187W  74   551.520   .040  6.03E-01  1.36E-02    23.72 H  8.54E+04  2.16E+02 B-
187W  74   685.730   .040  3.24E+00  7.34E-02    23.72 H  8.54E+04  2.16E+02 B-
187W  74    93.220   .030  6.20E-04  1.00E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   100.380   .240  1.04E-03  1.00E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   767.400   .800  1.90E-04  8.00E-05    23.72 H  8.54E+04  2.16E+02 B-
187W  74   154.400   .500  1.88E-03  7.12E-05    23.72 H  8.54E+04  2.16E+02 B-
187W  74   261.000  1.000  1.30E-03  3.00E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   638.650   .130  3.90E-04  1.30E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   772.890   .050  4.90E-01  1.05E-02    23.72 H  8.54E+04  2.16E+02 B-
187W  74    43.660   .050  2.40E-04  7.00E-05    23.72 H  8.54E+04  2.16E+02 B-
187W  74   198.340   .120  2.00E-04  5.00E-05    23.72 H  8.54E+04  2.16E+02 B-
187W  74   682.340   .200  8.00E-04  8.00E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   816.560   .020  1.17E-03  8.04E-05    23.72 H  8.54E+04  2.16E+02 B-
187W  74   141.220   .200  8.00E-04  3.00E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   208.290   .160  8.00E-05  3.00E-05    23.72 H  8.54E+04  2.16E+02 B-
187W  74   693.060   .220  1.60E-04  1.00E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   826.650   .250  2.80E-05  4.00E-06    23.72 H  8.54E+04  2.16E+02 B-
187W  74   262.700   .500  1.30E-03  3.00E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   844.700   .500  2.90E-05  1.60E-05    23.72 H  8.54E+04  2.16E+02 B-
187W  74   178.800   .500  1.60E-03  7.00E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   239.193   .024  1.02E-02  5.05E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   246.280   .021  1.41E-02  5.09E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   275.610   .120  2.50E-04  7.00E-05    23.72 H  8.54E+04  2.16E+02 B-
187W  74   352.860   .170  1.80E-04  7.00E-05    23.72 H  8.54E+04  2.16E+02 B-
187W  74   730.300  1.000  1.90E-03  1.30E-05    23.72 H  8.54E+04  2.16E+02 B-
187W  74   864.550   .010  3.99E-02  1.04E-03    23.72 H  8.54E+04  2.16E+02 B-
187W  74   576.310   .080  7.80E-04  1.30E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   745.216   .019  3.53E-02  8.35E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   879.450   .050  1.68E-02  5.13E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   165.670   .400  1.00E-04  4.00E-05    23.72 H  8.54E+04  2.16E+02 B-
187W  74   727.220   .200  4.50E-03  1.30E-03    23.72 H  8.54E+04  2.16E+02 B-
187W  74   933.800   .200  1.60E-03  7.00E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   115.500   .500  6.20E-04  3.03E-05    23.72 H  8.54E+04  2.16E+02 B-
187W  74   825.950   .250  2.80E-05  4.00E-06    23.72 H  8.54E+04  2.16E+02 B-
187W  74   960.170   .050  1.56E-04  1.01E-05    23.72 H  8.54E+04  2.16E+02 B-
187W  74   835.550   .200  1.00E-03  3.00E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   968.780   .200  4.90E-03  1.60E-03    23.72 H  8.54E+04  2.16E+02 B-
187W  74    40.750   .200  2.40E-04  7.00E-05    23.72 H  8.54E+04  2.16E+02 B-
187W  74   794.800   .200  2.90E-03  1.00E-03    23.72 H  8.54E+04  2.16E+02 B-
187W  74  1000.820   .200  5.20E-04  1.60E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   123.660   .120  3.00E-03  5.00E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   138.500   .050  5.20E-04  1.30E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   374.310   .140  2.90E-04  1.00E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   564.620   .190  1.40E-03  5.00E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74  1056.240   .050  2.70E-05  7.00E-06    23.72 H  8.54E+04  2.16E+02 B-
187W  74  1190.380   .120  2.60E-05  3.01E-06    23.72 H  8.54E+04  2.16E+02 B-
187W  74   573.710   .140  6.20E-05  1.90E-05    23.72 H  8.54E+04  2.16E+02 B-
187W  74  1086.600  1.000  9.70E-06  6.62E-08    23.72 H  8.54E+04  2.16E+02 B-
187W  74  1220.800   .250  2.00E-05  6.00E-06    23.72 H  8.54E+04  2.16E+02 B-
187W  74   612.900   .400  2.60E-04  1.30E-04    23.72 H  8.54E+04  2.16E+02 B-
187W  74   641.100   .500  4.20E-03  1.60E-03    23.72 H  8.54E+04  2.16E+02 B-
187W  74  1095.900  1.000  9.70E-06  6.62E-08    23.72 H  8.54E+04  2.16E+02 B-
187W  74  1230.100   .040  1.56E-04  1.60E-05    23.72 H  8.54E+04  2.16E+02 B-
186RE 75   137.157   .008  5.29E+00  3.01E-02   3.7183 D  3.21E+05  9.50E+01 B-
186RE 75   296.900   .400  3.00E-05  8.00E-06   3.7183 D  3.21E+05  9.50E+01 B-
186RE 75   333.400   .400  3.50E-05  8.00E-06   3.7183 D  3.21E+05  9.50E+01 B-
186RE 75   630.330   .050  1.65E-02  3.00E-04   3.7183 D  3.21E+05  9.50E+01 B-
186RE 75   767.470   .050  1.84E-02  3.00E-04   3.7183 D  3.21E+05  9.50E+01 B-
186RE 75   143.170   .050  4.20E-07  1.40E-07   3.7183 D  3.21E+05  9.50E+01 B-
186RE 75   476.400   .050  8.00E-07  3.00E-07   3.7183 D  3.21E+05  9.50E+01 B-
186RE 75   773.500   .400  1.20E-05  4.00E-06   3.7183 D  3.21E+05  9.50E+01 B-
186RE 75   122.640   .020  2.50E-01  2.00E-02   3.7183 D  3.21E+05  9.50E+01 EC
188RE 75   155.041   .004  7.16E+00  2.50E-01   17.005 H  6.12E+04  1.44E+01 B-
188RE 75   322.930   .040  7.60E-03  4.00E-04   17.005 H  6.12E+04  1.44E+01 B-
188RE 75   155.000   .000  2.90E-03  2.40E-04   17.005 H  6.12E+04  1.44E+01 B-
188RE 75   477.992   .025  4.83E-01  1.40E-02   17.005 H  6.12E+04  1.44E+01 B-
188RE 75   632.983   .021  6.02E-01  6.00E-03   17.005 H  6.12E+04  1.44E+01 B-
188RE 75   312.001   .024  2.00E-03  5.00E-04   17.005 H  6.12E+04  1.44E+01 B-
188RE 75   634.980   .070  6.98E-02  1.00E-03   17.005 H  6.12E+04  1.44E+01 B-
188RE 75   453.340   .020  3.48E-02  2.40E-03   17.005 H  6.12E+04  1.44E+01 B-
188RE 75   931.345   .010  2.62E-01  2.40E-03   17.005 H  6.12E+04  1.44E+01 B-
188RE 75   514.880   .060  2.54E-03  1.00E-04   17.005 H  6.12E+04  1.44E+01 B-
188RE 75  1149.700   .400  7.48E-03  1.40E-04   17.005 H  6.12E+04  1.44E+01 B-
188RE 75  1304.860   .200  1.30E-03  1.40E-04   17.005 H  6.12E+04  1.44E+01 B-
188RE 75   623.800   .300  1.16E-03  2.40E-04   17.005 H  6.12E+04  1.44E+01 B-
188RE 75   810.490   .040  4.30E-04  1.00E-04   17.005 H  6.12E+04  1.44E+01 B-
188RE 75   825.200   .700  8.30E-03  2.40E-04   17.005 H  6.12E+04  1.44E+01 B-
188RE 75  1302.400   .300  2.70E-03  3.00E-04   17.005 H  6.12E+04  1.44E+01 B-
188RE 75  1457.540   .130  8.77E-03  4.01E-05   17.005 H  6.12E+04  1.44E+01 B-
188RE 75   672.535   .016  5.27E-02  5.00E-04   17.005 H  6.12E+04  1.44E+01 B-
188RE 75   829.470   .040  1.94E-01  1.90E-03   17.005 H  6.12E+04  1.44E+01 B-
188RE 75   984.100   .500  1.60E-04  1.00E-04   17.005 H  6.12E+04  1.44E+01 B-
188RE 75  1463.000   .600  3.90E-04  1.40E-04   17.005 H  6.12E+04  1.44E+01 B-
188RE 75   845.070   .040  3.22E-03  4.00E-05   17.005 H  6.12E+04  1.44E+01 B-
188RE 75  1322.910   .200  5.30E-03  1.40E-03   17.005 H  6.12E+04  1.44E+01 B-
188RE 75  1530.500   .300  2.60E-04  8.00E-05   17.005 H  6.12E+04  1.44E+01 B-
188RE 75  1071.400   .300  3.20E-04  6.00E-05   17.005 H  6.12E+04  1.44E+01 B-
188RE 75  1549.260   .100  8.00E-04  4.00E-04   17.005 H  6.12E+04  1.44E+01 B-
188RE 75  1096.800   .400  3.00E-04  8.00E-05   17.005 H  6.12E+04  1.44E+01 B-
188RE 75  1574.570   .250  3.00E-04  5.00E-05   17.005 H  6.12E+04  1.44E+01 B-
188RE 75  1132.310   .020  3.94E-02  5.00E-04   17.005 H  6.12E+04  1.44E+01 B-
188RE 75  1610.400   .050  4.61E-02  5.00E-04   17.005 H  6.12E+04  1.44E+01 B-
188RE 75  1017.670   .100  6.89E-03  7.00E-05   17.005 H  6.12E+04  1.44E+01 B-
188RE 75  1174.570   .030  8.80E-03  4.00E-04   17.005 H  6.12E+04  1.44E+01 B-
188RE 75  1652.490   .140  1.65E-03  1.20E-04   17.005 H  6.12E+04  1.44E+01 B-
188RE 75  1807.600   .300  4.25E-04  2.40E-05   17.005 H  6.12E+04  1.44E+01 B-
188RE 75  1191.840   .120  6.28E-03  1.20E-04   17.005 H  6.12E+04  1.44E+01 B-
188RE 75  1669.910   .070  4.88E-03  5.00E-05   17.005 H  6.12E+04  1.44E+01 B-
188RE 75  1209.790   .024  1.41E-03  3.00E-05   17.005 H  6.12E+04  1.44E+01 B-
188RE 75  1936.900   .300  1.01E-04  1.00E-05   17.005 H  6.12E+04  1.44E+01 B-
188RE 75  1150.500   .400  7.29E-03  1.40E-04   17.005 H  6.12E+04  1.44E+01 B-
188RE 75  1308.030   .060  3.08E-02  6.00E-04   17.005 H  6.12E+04  1.44E+01 B-
188RE 75  1785.950   .120  9.17E-03  1.10E-04   17.005 H  6.12E+04  1.44E+01 B-
188RE 75  1940.910   .230  8.74E-04  1.40E-05   17.005 H  6.12E+04  1.44E+01 B-
