 Iso   Z  E(gamma)   DE     Sigma    DSigma      T1/2     T1/2(s)  dT1/2(s)  mode
 71ZN 30  1322.200   .200  1.25E-07  1.62E-08     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1339.700   .400  5.50E-09  1.04E-09     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1708.200   .500  4.50E-08  5.48E-09     3.96 H  1.43E+04  1.80E+02 B-
 71ZN 30  1905.200   .700  2.40E-09  3.23E-10     3.96 H  1.43E+04  1.80E+02 B-
 70GA 31  1039.200   .080  7.00E-03  1.00E-03    21.14 M  1.27E+03  1.80E+00 B-
 70GA 31   176.170   .020  3.00E-03  8.00E-04    21.14 M  1.27E+03  1.80E+00 B-
 72GA 31   142.530   .050  1.85E-04  1.90E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   834.080   .030  1.65E+00  5.00E-02    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   629.960   .050  4.90E-01  2.20E-02    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   772.000  1.000  7.50E-04  9.00E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  1464.000   .070  6.09E-02  1.90E-03    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   894.910   .110  3.50E-01  3.00E-02    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   336.630   .040  1.85E-03  1.90E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   601.210   .060  4.71E-01  2.20E-02    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  1230.860   .070  2.51E-02  2.50E-03    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   938.400   .200  1.32E-03  1.30E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  1568.100   .200  4.70E-03  6.00E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  1710.900   .140  6.60E-03  6.00E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31  2402.200   .400  4.10E-04  6.00E-05    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   735.750   .150  6.30E-03  6.00E-04    14.10 H  5.08E+04  3.60E+01 B-
 72GA 31   999.860   .060  1.38E-02  1.30E-03    14.10 H  5.08E+04  3.60E+01 B-
