 40	 41-Ar	 18	p	  3700.600	     3700.6(8)	     0.06500000	            0.065(7)	     Stable	 0.00E+00	           0.0049(5)                                  
 40	 41-Ar	 18	p	  4745.300	     4745.3(8)	     0.36000000	             0.36(4)	     Stable	 0.00E+00	            0.027(3)                                  
 40	 41-Ar	 18	p	  5582.400	     5582.4(8)	     0.07700000	            0.077(8)	     Stable	 0.00E+00	           0.0058(6)                                  
 39	 40-K 	 19	p	    29.830	   29.8300(10)	     1.38000000	           1.380(20)	     Stable	 0.00E+00	          0.1070(16)                                  
 39	 40-K 	 19	p	   770.305	  770.3050(20)	     0.90300000	           0.903(12)	     Stable	 0.00E+00	           0.0700(9)                                  
 39	 40-K 	 19	p	  1158.887	  1158.887(10)	     0.16000000	          0.1600(25)	     Stable	 0.00E+00	         0.01240(19)                                  
 39	 40-K 	 19	p	  5380.018	  5380.018(16)	     0.14600000	            0.146(4)	     Stable	 0.00E+00	           0.0113(3)                                  
 40	 41-Ca	 20	p	  1942.670	    1942.67(3)	     0.35200000	            0.352(7)	     Stable	 0.00E+00	           0.0266(5)                                  
 40	 41-Ca	 20	p	  2009.840	    2009.84(3)	     0.04090000	          0.0409(10)	     Stable	 0.00E+00	          0.00309(8)                                  
 40	 41-Ca	 20	p	   519.660	     519.66(5)	     0.05030000	          0.0503(13)	     Stable	 0.00E+00	         0.00380(10)                                  
 40	 41-Ca	 20	p	  2001.310	    2001.31(3)	     0.06590000	          0.0659(15)	     Stable	 0.00E+00	         0.00498(11)                                  
 40	 41-Ca	 20	p	  4418.520	    4418.52(5)	     0.07080000	          0.0708(18)	     Stable	 0.00E+00	         0.00535(14)                                  
 40	 41-Ca	 20	p	  6419.590	    6419.59(5)	     0.17600000	            0.176(5)	     Stable	 0.00E+00	           0.0133(4)                                  
 45	 46-Sc	 21	p	    52.011	   52.0110(10)	     0.87000000	             0.87(3)	     Stable	 0.00E+00	          0.0586(20)                                  
 45	 46-Sc	 21	p	   227.773	   227.773(12)	     7.13000000	            7.13(11)	     Stable	 0.00E+00	            0.481(7)                                  
 45	 46-Sc	 21	p	   228.716	   228.716(12)	     3.31000000	             3.31(5)	     Stable	 0.00E+00	            0.223(3)                                  
 45	 46-Sc	 21	p	   147.011	   147.011(10)	     6.08000000	             6.08(9)	     Stable	 0.00E+00	            0.410(6)                                  
 45	 46-Sc	 21	p	   216.440	     216.44(4)	     2.49000000	             2.49(4)	     Stable	 0.00E+00	            0.168(3)                                  
 45	 46-Sc	 21	p	   295.243	   295.243(10)	     3.97000000	            3.97(11)	     Stable	 0.00E+00	            0.268(7)                                  
 45	 46-Sc	 21	p	   584.785	   584.785(13)	     1.77000000	             1.77(3)	     Stable	 0.00E+00	          0.1193(20)                                  
 45	 46-Sc	 21	p	   627.462	   627.462(18)	     2.23000000	             2.23(5)	     Stable	 0.00E+00	            0.150(3)                                  
 45	 46-Sc	 21	p	   554.440	     554.44(4)	     1.82000000	             1.82(4)	     Stable	 0.00E+00	            0.123(3)                                  
 45	 46-Sc	 21	p	   539.437	   539.437(20)	     0.73800000	           0.738(19)	     Stable	 0.00E+00	          0.0497(13)                                  
 45	 46-Sc	 21	p	  6839.090	    6839.09(4)	     0.95000000	             0.95(4)	     Stable	 0.00E+00	            0.064(3)                                  
 45	 46-Sc	 21	p	  6840.340	    6840.34(4)	     0.76000000	            0.76(11)	     Stable	 0.00E+00	            0.051(7)                                  
 45	 46-Sc	 21	p	  8175.176	  8175.176(21)	     1.80000000	             1.80(6)	     Stable	 0.00E+00	            0.121(4)                                  
 45	 46-Sc	 21	p	  8532.122	  8532.122(20)	     0.89000000	             0.89(4)	     Stable	 0.00E+00	            0.060(3)                                  
 48	 49-Ti	 22	p	  1381.745	   1381.745(5)	     5.18000000	            5.18(12)	     Stable	 0.00E+00	            0.328(8)                                  
 48	 49-Ti	 22	p	  1585.941	   1585.941(5)	     0.62400000	            0.624(8)	     Stable	 0.00E+00	           0.0395(5)                                  
 48	 49-Ti	 22	p	   341.706	    341.706(5)	     1.84000000	           1.840(21)	     Stable	 0.00E+00	          0.1165(13)                                  
 48	 49-Ti	 22	p	  6418.426	  6418.426(14)	     1.96000000	             1.96(6)	     Stable	 0.00E+00	            0.124(4)                                  
 48	 49-Ti	 22	p	  6760.084	  6760.084(14)	     2.97000000	             2.97(9)	     Stable	 0.00E+00	            0.188(6)                                  
 51	 52-V 	 23	p	    17.152	     17.152(6)	     0.26000000	           0.260(20)	     Stable	 0.00E+00	          0.0155(12)                                  
 51	 52-V 	 23	p	   124.453	    124.453(4)	     0.23000000	             0.23(5)	     Stable	 0.00E+00	            0.014(3)                                  
 51	 52-V 	 23	p	   125.082	    125.082(3)	     1.61000000	             1.61(4)	     Stable	 0.00E+00	          0.0958(24)                                  
 51	 52-V 	 23	p	   147.846	    147.846(3)	     0.25300000	            0.253(6)	     Stable	 0.00E+00	           0.0151(4)                                  
 51	 52-V 	 23	p	   295.023	   295.023(14)	     0.16400000	            0.164(4)	     Stable	 0.00E+00	         0.00976(24)                                  
 51	 52-V 	 23	p	   419.475	   419.475(13)	     0.24900000	            0.249(6)	     Stable	 0.00E+00	           0.0148(4)                                  
 51	 52-V 	 23	p	   436.627	   436.627(13)	     0.39700000	            0.397(9)	     Stable	 0.00E+00	           0.0236(5)                                  
 51	 52-V 	 23	p	   645.703	   645.703(13)	     0.76900000	           0.769(17)	     Stable	 0.00E+00	          0.0457(10)                                  
 51	 52-V 	 23	p	   793.546	   793.546(13)	     0.19900000	            0.199(5)	     Stable	 0.00E+00	           0.0118(3)                                  
 51	 52-V 	 23	p	   823.184	   823.184(13)	     0.32000000	            0.320(8)	     Stable	 0.00E+00	           0.0190(5)                                  
 51	 52-V 	 23	p	   845.948	   845.948(13)	     0.25200000	            0.252(7)	     Stable	 0.00E+00	           0.0150(4)                                  
 51	 52-V 	 23	p	  1558.843	  1558.843(18)	     0.32300000	            0.323(8)	     Stable	 0.00E+00	           0.0192(5)                                  
 51	 52-V 	 23	p	  1777.961	  1777.961(19)	     0.16900000	           0.169(13)	     Stable	 0.00E+00	           0.0101(8)                                  
 51	 52-V 	 23	p	  5142.363	  5142.363(23)	     0.20000000	            0.200(6)	     Stable	 0.00E+00	           0.0119(4)                                  
 51	 52-V 	 23	p	  5210.143	  5210.143(19)	     0.24400000	           0.244(20)	     Stable	 0.00E+00	          0.0145(12)                                  
 51	 52-V 	 23	p	  5515.813	  5515.813(23)	     0.39000000	             0.39(4)	     Stable	 0.00E+00	          0.0232(24)                                  
 51	 52-V 	 23	p	  5752.064	  5752.064(22)	     0.36600000	           0.366(24)	     Stable	 0.00E+00	          0.0218(14)                                  
 51	 52-V 	 23	p	  6464.887	  6464.887(18)	     0.43000000	             0.43(4)	     Stable	 0.00E+00	          0.0256(24)                                  
 51	 52-V 	 23	p	  6517.282	  6517.282(19)	     0.78000000	             0.78(4)	     Stable	 0.00E+00	          0.0464(24)                                  
 51	 52-V 	 23	p	  6874.157	  6874.157(19)	     0.49000000	             0.49(6)	     Stable	 0.00E+00	            0.029(4)                                  
 51	 52-V 	 23	p	  7162.898	  7162.898(15)	     0.59000000	             0.59(4)	     Stable	 0.00E+00	          0.0351(24)                                  
